 95_42           3:53:44   -0:04:33 14.972 15.366 15.821 16.228 16.508 -0.393 -0.456 -0.862 -1.142 -0.406 -0.686
 95_263          3:53:47    0:26:38 16.690 13.399 12.054 11.587 11.324  3.291  1.345  1.812  2.075  0.467  0.730
 95_115          3:53:48   -0:00:48 16.301 15.028 14.380 14.043 13.860  1.272  0.648  0.985  1.168  0.337  0.521
 95_43           3:53:49   -0:03:01 12.087 10.969 10.663 10.583 10.561  1.118  0.306  0.385  0.408  0.080  0.102
 95_271          3:54:17    0:18:49 16.674 14.270 13.148 12.676 12.408  2.404  1.121  1.594  1.861  0.473  0.740
 95_328          3:54:19    0:36:28 17.194 14.263 12.884 12.264 11.904  2.931  1.379  1.999  2.359  0.621  0.980
 95_329          3:54:24    0:37:07 17.808 15.160 14.147 13.748 13.526  2.648  1.013  1.412  1.634  0.399  0.621
 95_330          3:54:31    0:29:05 17.395 13.173 11.304 10.456  9.955  4.222  1.869  2.717  3.218  0.848  1.349
 95_275          3:54:44    0:27:20 17.887 14.346 12.725 12.043 11.645  3.541  1.621  2.304  2.701  0.682  1.080
 95_276          3:54:46    0:25:54 17.505 14.684 13.628 13.225 13.001  2.821  1.056  1.459  1.683  0.403  0.627
 95_60           3:54:49   -0:07:05 15.155 13.744 13.159 12.949 12.845  1.412  0.585  0.795  0.899  0.210  0.314
 95_218          3:54:50    0:10:08 13.799 12.371 11.858 11.725 11.670  1.427  0.513  0.646  0.702  0.133  0.188
 95_132          3:54:51    0:05:21 13.749 12.195 11.954 11.903 11.898  1.554  0.240  0.292  0.297  0.051  0.056
 95_62           3:55:00   -0:02:55 16.947 14.177 12.984 12.543 12.295  2.770  1.193  1.634  1.882  0.441  0.689
 95_137          3:55:04    0:03:33 17.844 15.136 13.836 13.238 12.893  2.708  1.300  1.898  2.243  0.598  0.944
 95_139          3:55:05    0:03:13 14.667 12.593 11.854 11.617 11.497  2.074  0.739  0.976  1.096  0.236  0.357
 95_66           3:55:07   -0:09:31 14.543 13.172 12.652 12.452 12.355  1.370  0.521  0.720  0.817  0.199  0.296
 95_227          3:55:08    0:14:35 17.278 16.091 15.511 15.200 15.034  1.187  0.580  0.891  1.057  0.311  0.478
 95_142          3:55:09    0:01:19 14.410 13.136 12.749 12.611 12.553  1.274  0.387  0.525  0.584  0.138  0.196
 95_74           3:55:31   -0:09:13 14.128 12.042 11.089 10.764 10.588  2.087  0.952  1.278  1.454  0.326  0.502
 95_231          3:55:39    0:10:43 15.899 14.349 14.105 14.050 14.043  1.550  0.245  0.299  0.306  0.054  0.061
 95_284          3:55:42    0:26:34 16.953 14.332 13.094 12.573 12.276  2.621  1.238  1.759  2.056  0.521  0.818
 95_149          3:55:44    0:07:05 15.008 11.710 10.267  9.703  9.378  3.298  1.443  2.007  2.332  0.565  0.889
 95_285          3:55:46    0:23:40 18.076 15.966 15.212 14.852 14.655  2.110  0.754  1.114  1.311  0.360  0.557
 95_236          3:56:13    0:08:43 13.147 11.783 11.240 11.068 10.987  1.364  0.543  0.716  0.796  0.173  0.253
 96_21           4:51:16   -0:14:51 13.471 12.336 12.052 11.991 11.980  1.134  0.285  0.346  0.357  0.061  0.072
